"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-01","2023","01","01","","3.2","","0.0","","1.6","","16.4","","0.0","","0.3","","0.0","","0.3","","18","","30","","37",""
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-02","2023","01","02","","5.0","","0.1","","2.6","","15.4","","0.0","","0.0","","0.0","T","0.2","","13","","28","","32",""
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-03","2023","01","03","","3.0","","-1.6","","0.7","","17.3","","0.0","","0.2","","0.0","","0.2","","8","","","M","","M"
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-04","2023","01","04","","2.0","","-1.6","","0.2","","17.8","","0.0","","10.8","","0.0","","10.8","","4","","5","","65",""
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-05","2023","01","05","","-1.0","","-3.2","","-2.1","","20.1","","0.0","","0.6","","0.4","","1.0","","1","","8","","51",""
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-06","2023","01","06","","1.2","","-3.0","","-0.9","","18.9","","0.0","","0.2","","1.8","","1.3","","1","","30","","36",""
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-07","2023","01","07","","-3.0","","-11.7","","-7.4","","25.4","","0.0","","0.0","","0.0","T","0.0","T","2","","30","","38",""
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-08","2023","01","08","","-4.7","","-13.3","","-9.0","","27.0","","0.0","","0.0","","0.0","T","0.0","T","2","","","M","","M"
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-09","2023","01","09","","-0.4","","-5.1","","-2.8","","20.8","","0.0","","0.0","","0.5","","0.3","","2","","30","","46",""
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-10","2023","01","10","","-5.1","","-12.9","","-9.0","","27.0","","0.0","","0.0","","0.0","T","0.0","T","3","E","","","",""
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-11","2023","01","11","","-8.3","","-15.3","","-11.8","","29.8","","0.0","","0.0","","0.0","T","0.0","T","3","","","","",""
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-12","2023","01","12","","-1.0","","-8.4","","-4.7","","22.7","","0.0","","0.5","","11.3","","9.2","","6","","","","",""
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-13","2023","01","13","","-1.2","","-10.2","","-5.7","","23.7","","0.0","","0.0","","15.0","","10.4","","15","","","","",""
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-14","2023","01","14","","-8.1","","-16.9","","-12.5","","30.5","","0.0","","0.0","","0.0","","0.0","","23","","","","",""
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-15","2023","01","15","","-8.3","","-17.7","","-13.0","","31.0","","0.0","","0.0","","0.0","T","0.0","T","22","","","","",""
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-16","2023","01","16","","-3.2","","-18.3","","-10.8","","28.8","","0.0","","0.0","","0.0","","0.0","","21","","","","",""
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-17","2023","01","17","","-3.3","","-16.8","","-10.1","","28.1","","0.0","","1.0","","1.2","","2.2","","20","","","","",""
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-18","2023","01","18","","0.7","","-5.5","","-2.4","","20.4","","0.0","","0.2","","0.0","T","0.2","","19","","","","",""
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-19","2023","01","19","","-0.8","","-5.2","","-3.0","","21.0","","0.0","","0.0","","4.4","","3.2","","17","","6","","55",""
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-20","2023","01","20","","-1.2","","-3.6","","-2.4","","20.4","","0.0","","0.0","","5.2","","3.6","","20","","6","","40",""
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-21","2023","01","21","","-2.5","","-7.7","","-5.1","","23.1","","0.0","","0.0","","0.0","","0.0","","22","","","M","","M"
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-22","2023","01","22","","","M","","M","","M","","M","","M","0.0","","2.6","","1.7","","21","","","M","","M"
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-23","2023","01","23","","-0.4","","-2.8","","-1.6","","19.6","","0.0","","0.0","","0.0","T","0.0","T","23","","","M","","M"
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-24","2023","01","24","","1.4","","-9.6","","-4.1","","22.1","","0.0","","0.0","","0.6","","0.4","","22","","23","","48",""
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-25","2023","01","25","","-7.3","","-12.0","","-9.7","","27.7","","0.0","","0.0","","15.6","","9.8","","20","","7","","48",""
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-26","2023","01","26","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-27","2023","01","27","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-28","2023","01","28","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-29","2023","01","29","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","45.32","OTTAWA INTL A","6106001","2023-01-30","2023","01","30","","","","","","","","","","","","","","","","","","","","","","",""
